title,icon,time,compatible,evaluate,discount,original_price,now_price,detailLink
Titanfall® 2,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1237970/capsule_sm_120.jpg?t=1668565264,"Jun 18, 2020","[""win""]",Positive,10,29.99,2.99,https://store.steampowered.com/app/1237970/Titanfall_2/?snr=1_7_7_2300_150_2
Stray,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1332010/capsule_sm_120.jpg?t=1715873569,"Jul 19, 2022","[""win"", ""mac""]",Positive,60,29.99,17.99,https://store.steampowered.com/app/1332010/Stray/?snr=1_7_7_2300_150_2
WWE 2K24,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2315690/capsule_sm_120.jpg?t=1722446964,"Mar 7, 2024","[""win""]",Positive,50,59.99,29.99,https://store.steampowered.com/app/2315690/WWE_2K24/?snr=1_7_7_2300_150_2
Mass Effect™ Legendary Edition,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1328670/capsule_sm_120.jpg?t=1669773470,"May 14, 2021","[""win""]",Positive,15,59.99,8.99,https://store.steampowered.com/app/1328670/Mass_Effect_Legendary_Edition/?snr=1_7_7_2300_150_2
Battlefield™ 1,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1238840/capsule_sm_120.jpg?t=1701356405,"Jun 11, 2020","[""win""]",Positive,15,39.99,5.99,https://store.steampowered.com/app/1238840/Battlefield_1/?snr=1_7_7_2300_150_2
Sun Haven,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1432860/capsule_sm_120.jpg?t=1722663018,"Mar 10, 2023","[""win"", ""mac""]",Positive,50,24.99,12.49,https://store.steampowered.com/app/1432860/Sun_Haven/?snr=1_7_7_2300_150_2
Aero GPX,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2160360/capsule_sm_120.jpg?t=1722969219,"Aug 6, 2024","[""win""]",Positive,85,19.99,16.99,https://store.steampowered.com/app/2160360/Aero_GPX/?snr=1_7_7_2300_150_2
EARTH DEFENSE FORCE 6,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2291060/capsule_sm_120.jpg?t=1721979786,"Jul 25, 2024","[""win""]",Mixed,90,59.99,53.99,https://store.steampowered.com/app/2291060/EARTH_DEFENSE_FORCE_6/?snr=1_7_7_2300_150_2
Pacific Drive,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1458140/capsule_sm_120.jpg?t=1721286389,"Feb 21, 2024","[""win""]",Positive,60,34.99,20.99,https://store.steampowered.com/app/1458140/Pacific_Drive/?snr=1_7_7_2300_150_2
Battlefield™ V,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1238810/capsule_sm_120.jpg?t=1701356409,"Oct 22, 2020","[""win""]",Positive,15,49.99,7.49,https://store.steampowered.com/app/1238810/Battlefield_V/?snr=1_7_7_2300_150_2
RoboCop: Rogue City,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1681430/capsule_sm_120.jpg?t=1709224349,"Nov 2, 2023","[""win""]",Positive,50,49.99,24.99,https://store.steampowered.com/app/1681430/RoboCop_Rogue_City/?snr=1_7_7_2300_150_2
Call of Duty®: Modern Warfare®,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2000950/capsule_sm_120.jpg?t=1678294805,"Mar 8, 2023","[""win""]",Positive,33,59.99,19.79,https://store.steampowered.com/app/2000950/Call_of_Duty_Modern_Warfare/?snr=1_7_7_2300_150_2
The Walking Dead: The Telltale Definitive Series,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1449690/capsule_sm_120.jpg?t=1698776763,"Oct 29, 2020","[""win""]",Positive,20,49.99,9.99,https://store.steampowered.com/app/1449690/The_Walking_Dead_The_Telltale_Definitive_Series/?snr=1_7_7_2300_150_2
Hell Let Loose,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/686810/capsule_sm_120.jpg?t=1721914890,"Jul 27, 2021","[""win""]",Positive,60,49.99,29.99,https://store.steampowered.com/app/686810/Hell_Let_Loose/?snr=1_7_7_2300_150_2
Need for Speed™ Heat,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1222680/capsule_sm_120.jpg?t=1716831270,"Jun 4, 2020","[""win""]",Positive,10,69.99,6.99,https://store.steampowered.com/app/1222680/Need_for_Speed_Heat/?snr=1_7_7_2300_150_2
